"Payee","Amount","Date","Description","Directorate"
"Community Energy Scotland",618228.4,"01-04-2010","Renewable Energy: Communities and Renewable Energy Scheme (CARES)","Business, Energy"
"Ocean Power Technologies Limited",470489,"01-04-2010","Renewable Energy: Marine funding","Business, Energy"
"XstalBio Limited",28689,"01-04-2010","Smart: Scotland Grant Instalment","Business, Energy"
"Scottish Biomedical",47433,"01-04-2010","Smart: Scotland Grant Instalment","Business, Energy"
"University Of Dundee",74592,"01-04-2010","Nurse Education & Training","Chief Nursing Officer"
"University Of Dundee",37645.66,"01-04-2010","Nurse Education & Training","Chief Nursing Officer"
"University Of Stirling",26000,"01-04-2010","AHP Development & Support Scheme","Chief Nursing Officer"
"University Of Dundee",68558.4,"01-04-2010","Nurse Education & Training","Chief Nursing Officer"
"Nord-Plan Limited",230000,"01-04-2010","One-off cost of mobile racking storage for RCAHMS collections","Culture, External Affairs and Tourism"
"Amas Ltd",115000,"01-04-2010","Accommodation Charge","Culture, External Affairs and Tourism"
"National Trust For Scotland",80000,"01-04-2010","Bannockburn Battlefield and Visitor Centre Development Project","Culture, External Affairs and Tourism"
"Scottish Borders Council",168236.62,"01-04-2010","Private Water Supplies Grant Scheme","Environmental Quality"
"Stirling Council",66796.55,"01-04-2010","Private Water Supplies Grant Scheme","Environmental Quality"
"Moray Council",108017,"01-04-2010","Private Water Supplies Grant Scheme","Environmental Quality"
"Highland Council, The",297065.14,"01-04-2010","Private Water Supplies Grant Scheme","Environmental Quality"
"Dumfries & Galloway NHS Board",18500000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS Orkney",3750000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"Scottish Ambulance Service",21000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"Forth Valley NHS Board",28000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS Lothian",103000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS Quality Improvement Scotland",1500000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"Ayrshire & Arran Health Board",42000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"Highland Health Board",41000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS Health Scotland",2500000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"Fife Health Board (NHS)",40000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS Greater Glasgow and Clyde",200000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"National Waiting Times, The",5500000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"Borders NHS Board",12000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS Education for Scotland",35000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS State Hospital",4550000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS NSS",35000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS 24",7000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"Grampian NHS Board",55000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"Shetland NHS Board",3600000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS Tayside",46000000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"NHS Lanarkshire",51934000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"Western Isles NHS Board",4800000,"01-04-2010","Cash Advances To Health Boards","Health Finance"
"Union Advertising Agency Limited, The",122546.63,"01-04-2010","Breastfeeding national campaign","Healthcare Policy and Strategy"
"Diabetes UK",30000,"01-04-2010","Diabetes Expenditure","Healthcare Policy and Strategy"
"West Lothian Council Economic Development",600000,"01-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Comhairle Nan Eilean Siar",1500000,"01-04-2010","Town Centre Regeneration Fund Grant","Housing & Regeneration"
"Albyn H S Limited",312720.88,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Dumfries & Galloway Housing Partnership",179298.47,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Cunninghame Housing Assoc",410295.11,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"Trust Housing Association Limited",218644.69,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"River Clyde Homes",811573.73,"01-04-2010","COP Support Business Plan Cap Gr PS","Housing & Regeneration"
"Argyll Community Housing Association",298639.93,"01-04-2010","COP Support Business Plan Cap Gr PS","Housing & Regeneration"
"Cordale Housing Association",36573.06,"01-04-2010","Dev Prog Cap Gts to Priv Sect","Housing & Regeneration"
"River Clyde Homes",458849.23,"01-04-2010","COP Support Business Plan Cap Gr PS","Housing & Regeneration"
